months_age,box,distance,gender,grade,racenumber,schedule,dogName,ken,odds,time,trn,avg_weight,hiGrade
31,1,1,1,7,1,0,140,15,8.0,38.14,3,73,5
31,2,1,1,7,1,0,508,8,3.5,37.81,8,71,4
32,3,1,0,7,1,0,1197,3,2.5,37.13,4,57,2
44,4,1,0,7,1,0,312,2,12.0,37.49,16,63,2
32,5,1,1,7,1,0,571,6,6.0,37.54,15,73,3
32,7,1,0,7,1,0,1196,3,4.0,37.81,4,64,3
32,8,1,1,7,1,0,2143,13,10.0,37.59,21,67,3
32,1,0,1,4,2,0,466,15,4.5,31.67,3,71,6
20,2,0,1,4,2,0,1103,3,12.0,31.59,4,65,6
32,4,0,1,4,2,0,1473,9,4.0,31.13,17,74,6
31,5,0,0,4,2,0,451,15,10.0,31.15,3,59,6
19,6,0,1,4,2,0,137,3,8.0,31.78,4,72,6
32,8,0,1,4,2,0,1965,7,6.0,31.57,11,76,6
43,1,0,1,2,3,0,896,10,7.0,31.16,10,70,4
32,2,0,0,2,3,0,2031,13,12.0,30.69,21,62,4
32,3,0,0,2,3,0,1514,9,8.0,30.75,17,59,3
32,5,0,1,2,3,0,1380,4,2.5,30.78,2,76,2
44,6,0,1,2,3,0,1877,0,3.5,30.98,22,68,4
31,8,0,1,2,3,0,1809,1,6.0,31.11,6,72,4
32,1,0,0,1,4,0,1950,6,6.0,30.86,15,54,2
32,2,0,0,1,4,0,1233,10,2.5,30.86,10,58,3
43,3,0,1,1,4,0,1742,5,4.0,30.58,5,74,2
32,4,0,1,1,4,0,1949,1,8.0,30.73,6,73,2
31,5,0,0,1,4,0,1864,4,10.0,30.84,2,69,3
32,6,0,0,1,4,0,1569,9,4.5,30.73,17,64,2
44,8,0,0,1,4,0,2406,2,12.0,30.73,16,66,2
32,1,0,1,3,5,0,1385,0,12.0,31.08,22,68,4
56,2,0,0,3,5,0,1165,9,2.5,30.81,17,61,2
31,3,0,1,3,5,0,2512,13,3.5,30.96,21,69,3
55,4,0,0,3,5,0,1959,1,6.0,30.61,6,65,4
32,5,0,1,3,5,0,532,13,10.0,31.22,21,70,4
56,6,0,1,3,5,0,1203,4,4.0,30.92,2,73,4
31,8,0,0,3,5,0,576,11,8.0,31.01,7,63,5
44,1,0,1,0,6,0,2074,7,6.0,30.68,11,82,2
43,2,0,1,0,6,0,1211,4,8.0,30.74,2,79,2
32,3,0,1,0,6,0,1187,10,7.0,30.45,10,70,2
44,4,0,0,0,6,0,364,1,12.0,30.92,6,63,2
32,5,0,1,0,6,0,1695,2,10.0,30.73,16,80,2
43,6,0,1,0,6,0,909,6,4.0,30.68,15,73,2
43,7,0,0,0,6,0,1428,12,4.5,30.81,18,60,2
55,8,0,0,0,6,0,2348,5,2.5,30.43,5,61,2
32,1,0,0,3,7,0,2465,2,2.5,31.03,16,64,5
44,3,0,0,3,7,0,1118,1,10.0,32.66,6,65,5
43,4,0,1,3,7,0,2587,0,8.0,30.77,22,76,3
43,5,0,1,3,7,0,149,3,7.0,30.82,4,70,4
31,6,0,1,3,7,0,2540,13,3.5,30.92,21,74,4
44,7,0,1,3,7,0,646,12,4.0,31.18,18,76,4
43,8,0,0,3,7,0,562,11,6.0,31.78,7,68,5
32,1,0,0,1,8,0,512,5,2.5,30.61,5,59,3
32,2,0,0,1,8,0,1434,15,10.0,30.71,3,61,3
31,4,0,1,1,8,0,398,1,4.5,30.81,6,73,2
43,5,0,0,1,8,0,24,8,6.0,30.55,8,67,2
32,6,0,0,1,8,0,1520,9,7.0,30.57,17,56,2
32,7,0,0,1,8,0,381,6,12.0,30.69,15,59,2
44,2,0,1,2,9,0,650,4,8.0,31.06,2,71,2
32,3,0,0,2,9,0,1404,0,6.0,30.55,22,61,3
32,5,0,1,2,9,0,2546,13,3.5,30.89,21,74,4
55,6,0,1,2,9,0,1068,12,10.0,30.97,18,76,3
31,7,0,1,2,9,0,2197,10,2.5,30.83,10,68,2
68,8,0,1,2,9,0,354,8,7.0,30.81,8,74,2
55,1,0,0,0,10,0,642,12,7.0,30.59,18,65,2
44,2,0,1,0,10,0,1237,15,6.0,30.62,3,70,2
43,3,0,0,0,10,0,1526,9,2.5,30.64,17,63,2
31,5,0,1,0,10,0,1748,10,12.0,30.74,10,75,2
32,6,0,1,0,10,0,1699,2,4.5,30.71,16,72,2
31,7,0,0,0,10,0,2018,4,10.0,30.71,2,64,2
44,8,0,0,0,10,0,803,6,4.0,30.64,15,64,2
44,1,0,1,3,11,0,2150,3,2.5,31.05,4,66,4
32,2,0,1,3,11,0,1086,4,6.0,31.33,2,88,5
31,3,0,0,3,11,0,2561,13,12.0,31.02,21,62,3
32,4,0,1,3,11,0,1325,15,10.0,30.71,3,74,4
43,5,0,0,3,11,0,1337,7,3.5,30.91,11,60,4
31,6,0,1,3,11,0,1123,1,4.0,31.14,6,72,5
55,7,0,0,3,11,0,1625,0,8.0,31.08,22,67,4
32,1,1,1,3,1,1,1120,0,2.5,37.99,22,74,4
44,4,1,1,3,1,1,675,15,4.0,38.66,3,75,3
55,1,0,0,1,12,0,351,0,7.0,30.77,22,57,3
31,3,0,1,1,12,0,1469,9,2.5,30.27,17,75,3
32,4,0,0,1,12,0,1239,15,8.0,30.97,3,66,3
20,5,0,0,1,12,0,1106,3,10.0,30.97,4,65,3
44,6,0,1,1,12,0,872,10,4.0,30.62,10,71,2
44,7,0,0,1,12,0,280,2,12.0,30.95,16,64,3
32,8,0,1,1,12,0,2153,4,4.5,30.74,2,75,2
